label,options, explain,,,,,,,,,,,,,,,
Trends,Tomato-Girl Summer,"This style, known as ""Tomato-Girl Summer,"" is characterized by its association with regions where tomatoes are a staple in cuisine, primarily the Mediterranean countries like Italy and Spain. It exudes a passionate and vibrant atmosphere with bold colors and generous floral patterns. Designers like Dolce & Gabbana have embraced this style, showcasing its exuberance to the fullest extent.",,,,,,,,,,,,,,,
Trends,Mermaid-core,"The Siren style, inspired by mermaids and represented by Siren characters, draws from the shimmering and colorful scales of mermaids. It incorporates wavy lines reminiscent of ocean waves, often featuring ruffled or scalloped edges resembling seafoam. Accessories in this style may include elements inspired by seashells. Siren fashion captures the enchanting and mystical allure of underwater worlds, infusing a sense of fantasy and aquatic beauty into clothing and accessories.",,,,,,,,,,,,,,,
Trends,Barbie-core,"
The Barbie-core style, derived from Barbie dolls, revolves around its core element of pink. With the release of the 2023 Barbie movie in spring, this style has experienced a resurgence in popularity, emphasizing the color pink as a central theme.",,,,,,,,,,,,,,,
Trends,Ballet-core,"The balletcore style evolves from traditional ballet attire into an everyday aesthetic, featuring fitted bodysuits paired with silk mini skirts and wraparound cardigans. The focus is on sweetheart necklines, pastel color palettes, silky garments, and layered socks with flats. An extended sense of intellectuality comes with tight knit tops matched with midi tulle skirts, accented by hair buns and ballet flats.",,,,,,,,,,,,,,,
Trends,None,,,,,,,,,,,,,,,,
Trends,Naked Trend,"The sheer or see-through fashion trend, popularized by Kate Moss and revived by celebrities like the Kardashian family and Zendaya, revolves around form-fitting garments made from delicate fabrics such as chiffon or lace. It aims to showcase the body's natural curves while maintaining an alluring and subtly revealing aesthetic. This trend celebrates both sensuality and sophistication, making it a go-to choice for red carpet events and fashion-forward outings.",,,,,,,,,,,,,,,
Occasion,Casual Day Out,,,,,,,,,,,,,,,,
Occasion,Vacations/Travel,,,,,,,,,,,,,,,,
Occasion,Weddings,,,,,,,,,,,,,,,,
Occasion,Work/Job Interviews,,,,,,,,,,,,,,,,
Occasion,Photoshoots/Headshots,,,,,,,,,,,,,,,,
Occasion,Milestones ,,,,,,,,,,,,,,,,
Occasion,Galas/Fundraisers/Red Carpet Events,,,,,,,,,,,,,,,,
Occasion,Date Night,,,,,,,,,,,,,,,,
Occasion,A Night Out,"Sensual, fiery, and chic style featuring rich dark colors or sparkling bling. Ideal for evening gatherings or entertainment events, where the more glamorous, the sexier. Even for casual get-togethers, opting for glossy pieces, whether form-fitting or slightly loose, is the choice.",,,,,,,,,,,,,,,
Occasion,Gym/Workout,,,,,,,,,,,,,,,,
Occasion,Outdoor Activity,,,,,,,,,,,,,,,,
Occasion,Festival/Concert,,,,,,,,,,,,,,,,
Occasion,Pregnancy & Post-Pregnancy,,,,,,,,,,,,,,,,
Occasion,Home,,,,,,,,,,,,,,,,
Occasion,Sleep,,,,,,,,,,,,,,,,
